Name,Date,Funds Lost,Category,Custody,Method,Additional Detail,Latex Reference,Reference
Altsbit,05/02/2020,"72,500,000",Application,Custodial,Unknown,-,,List of asset CoinDesk
Upbit,26/11/2019,"49,000,000",Application,Custodial,Malware,Mlaware -- Phishing ,,"Medium https://medium.com/web3coda/breaking-down-the-upbit-heist-everything-you-need-to-know-556617c31c22#:~:text=How%20Was%20the%20Upbit%20Hack,the%20trading%20of%20this%20cryptocurrency"
Bitpoint,11/07/2019,"36,500,000",Unknown,Custodial,Unknown,-,,Source list of assets
Vindax,05/11/2019,"500,000",Unknown,Custodial,Unknown,Wallet Infrastrcuture Vulnerability,,
Bitrue,27/06/2019,"4,500,000",Authentication,Custodial,Unknown,2FA bypass from infrastructural vulnerability,,CoinDesk source
Gatehub,06/06/2019,"9,500,000",Unknown,Custodial,Unknown,Ledger API Vulnerability,,source CoinTelegraph
Binance,07/05/2019,"40,000,000",Authentication,Custodial,Unknown,2FA bypass from infrastructural vulnerability,,CoinDesk
Bithumb,29/03/2019,"29,000,000",Authentication,Custodial,Insider Job,Server exploitation,,coindesk source
Coinbene,25/03/2019,"99,000,000",Unknown,Custodial,Unknown,-,,cointelegraph
DragonEX,24/03/2019,"1,000,000",Application,Custodial,Unknown,API vulnerability ,,coindesk source
Cryptopia,01/02/2019,"16,000,000",Unknown,Custodial,Undetailed Private Key Compromised,Hot Wallet Attack,,Hacken
LocalBitcoins,26/01/2019,"27,000",Application,Custodial,Phishing,2FA phishing,,source
Electrum,21/12/2018,"750,000",Application,Non-Custodial,Phishing,Server exploitation,,source
Maplechange,28/10/2018,"6,000,000",Unknown,Custodial,Unknown,-,,source
Zaif,14/09/2018,"100,000,000",Unknown,Custodial,Unknown,-,,coindesk
Coinrail,10/06/2018,"40,000,000",Unknown,Custodial,Unknown,-,,coindesk
MyEtherWallet,24/04/2018,"150,000",Network,Non-Custodial,DNS Spoofing,Network Vulnerability,,Source
Gate.io,18/04/2018,"234,000,000.00",Unknown,Custodial,Unknown,Cold wallet exploited,,Source source
CoinSecure,13/04/2018,"3,500,000",Authentication,Custodial,Insider Job,Rugpull,,CoinDesk coindesk2
Bitgrail,10/02/2018,"146,000,000",Authentication,Custodial,Insider Job,Rugpull,,Source
CoinCheck,27/01/2018,"560,000,000",Unknown,Custodial,Unknown,-,,coindesk source
BlackWallet,15/01/2018,"400,000",Network,Non-Custodial,DNS Spoofing,,,
EtherDelta,20/12/2017,"1,400,000",Network,Custodial,DNS Spoofing,Network Vulnerability,,CCN
Yapizon,22/04/2017,"5,300,000",Unknown,Custodial,Unknown,-,,cointelegraph CCN
Bitfinex,02/08/2016,"623,000,000",Application,Custodial,Unknown,-,,coindesk
Gatecoin,09/05/2016,"2,140,000",Unknown,Custodial,Unknown,-,,coindesk
Shapeshift,07/04/2016,"230,000",Authentication ,Custodial,Insider Job,-,,source
Bitstamp,11/12/2015,"5,000,000",Application,Custodial,Phishing,Social Engineering,,coindesk
BTER,15/08/2015,"1,650,000",Application,Custodial,Unknown,Website Exploitation,,coindesk
Mintpal,13/07/2014,"2,000,000",Authentication ,Custodial,Insider Job,Rugpull,,source
Poloniex,04/03/2014,"50,000",Application,Custodial,Unknown,Website Exploitation,,coindesk
Mt. Gox,24/02/2014,"460,000,000",Authentication ,Custodial,Unknown,Server Exploit,,source
Bitcash,11/11/2013,"100,000",Application,Custodial,Phishing,Social Engineering,,coindesk
Bitfloor,12/09/2012,"250,000",Application,Custodial,Undetailed Private Key Compromised,-,,source
Bitcoinica,01/03/2012,"90,000",Application,Custodial,Undetailed Private Key Compromised,-,,source
