Name,Category,Source,Reference,Description
Coinbase Wallet,Insecure Interactions,Grey Literature,https://medium.com/@slowmistteam/metamask-clickjacking-vulnerability-analysis-f3e7c22ff4d9,"Clickjacking vulnerability affecting multiple browser-extension wallets, including Coinbase Wallet, allowed phishing sites to trick users into approving malicious transactions."
Biconomy,Sig. Verif. Logic Flaw,Grey Literature,https://medium.com/chainlight/patch-thursday-account-abstraction-security-guide-c348cc5e36ee,Chainlight disclosed a signature verification bypass in Biconomy SmartAccount contracts that allowed crafted transactions to execute without a valid user signature.
Web3Auth,Insecure Permission,Grey Literature,https://halborn.com/blog/post/halborn-research-vulnerabilities-wallet-permissions,Session key storage lacked proper OS-level isolation.
Brave Wallet,Sig. Verif. Logic Flaw,Grey Literature,https://www.fireblocks.com/blog/lindell17-abort-vulnerability-technical-report,Lindell17 abort bug impacted MPC backup flow.
Brave Wallet,Inadequate Encryption,CVE-2019-15947,https://nvd.nist.gov/vuln/detail/CVE-2019-15947,Legacy PGP component used weak CBC mode.
Phantom,Provider Compromise,Grey Literature,https://cointelegraph.com/news/slope-wallets-blamed-for-solana-based-wallet-attack,Shared backend leak exposed user keys.
Phantom,Inadequate Authentication,Grey Literature,https://blog.openzeppelin.com/backdooring-gnosis-safe-multisig-wallets,Insufficient approval reset after account import.
Slope,Provider Compromise,Grey Literature,https://cointelegraph.com/news/slope-wallets-blamed-for-solana-based-wallet-attack,Plain text seed telemetry to centralized server.
Slope,Insecure Interactions,Grey Literature,https://cointelegraph.com/news/slope-wallets-blamed-for-solana-based-wallet-attack,"July 2022 Solana wallet drain traced to Slope—wallet’s mobile app transmitted plaintext seed phrases to centralized telemetry servers, enabling mass phishing & account takeover."
Binance Web3 Wallet,Insecure Interactions,Grey Literature,https://www.binance.com/en/blog/security/web3-wallet-security-risks-of-message-signatures-14545618347818,Binance disclosed social‑engineering attacks in which malicious dApps abused message‑signature prompts to trick Web3 Wallet users into authorizing asset transfers; mitigation guidance issued.
TON Space Wallet,Library Vulnerability,Grey Literature,https://socket.dev/blog/ton-wallet-security-threat-malicious-npm-package-steals-cryptocurrency-wallet-keys,Malicious npm package '@ton-wallet/create' captured mnemonic phrases; supply-chain library compromise.
TON Space Wallet,Insecure Interactions,Grey Literature,https://exvul.com/blog/telegram-wallet-phishing-scams-2024,"Phishing scams impersonated TON Space interface, tricking users into signing malicious transactions."
Hashpack,Insecure Interactions,Grey Literature,https://www.bleepingcomputer.com/news/security/fbi-warns-of-nft-airdrop-scams-targeting-hedera-hashgraph-wallets/,NFT airdrop scams targetting Hedera Hashgraph wallets
